DATE,HOME,AWAY,HSCORE,ASCORE
2019-10-22,NOP,TOR,122,130
2019-10-22,LAL,LAC,102,112
2019-10-23,CHI,CHA,125,126
2019-10-23,DET,IND,119,110
2019-10-23,CLE,ORL,85,94
2019-10-23,MIN,BKN,127,126
2019-10-23,MEM,MIA,101,120
2019-10-23,BOS,PHI,93,107
2019-10-23,WAS,DAL,100,108
2019-10-23,NYK,SAS,111,120
2019-10-23,OKC,UTA,95,100
2019-10-23,SAC,PHX,95,124
2019-10-23,DEN,POR,108,100
2019-10-24,ATL,DET,117,100
2019-10-24,MIL,HOU,117,111
2019-10-24,LAC,GSW,141,122
2019-10-25,TOR,BOS,106,112
2019-10-25,MIN,CHA,121,99
2019-10-25,NYK,BKN,109,113
2019-10-25,CHI,MEM,110,102
2019-10-25,DAL,NOP,123,116
2019-10-25,WAS,OKC,97,85
2019-10-25,PHX,DEN,107,108
2019-10-25,POR,SAC,122,112
2019-10-25,UTA,LAL,86,95
2019-10-26,MIA,MIL,131,126
2019-10-26,PHI,DET,117,111
2019-10-26,ORL,ATL,99,103
2019-10-26,BOS,NYK,118,95
2019-10-26,IND,CLE,99,110
2019-10-26,TOR,CHI,108,84
2019-10-26,NOP,HOU,123,126
2019-10-26,WAS,SAS,122,124
2019-10-26,SAC,UTA,81,113
2019-10-26,LAC,PHX,122,130
2019-10-27,GSW,OKC,92,120
2019-10-27,BKN,MEM,133,134
2019-10-27,POR,DAL,121,119
2019-10-27,MIA,MIN,109,116
2019-10-27,CHA,LAL,101,120
2019-10-28,IND,DET,94,96
2019-10-28,CHI,NYK,98,105
2019-10-28,PHI,ATL,105,103
2019-10-28,ORL,TOR,95,104
2019-10-28,OKC,HOU,112,116
2019-10-28,CLE,MIL,112,129
2019-10-28,GSW,NOP,134,123
2019-10-28,POR,SAS,110,113
2019-10-28,UTA,PHX,96,95
2019-10-28,DEN,SAC,101,94
2019-10-28,CHA,LAC,96,111
2019-10-29,ATL,MIA,97,112
2019-10-29,DAL,DEN,109,106
2019-10-29,MEM,LAL,91,120
2019-10-30,CHI,CLE,111,117
2019-10-30,NYK,ORL,83,95
2019-10-30,MIN,PHI,95,117
2019-10-30,MIL,BOS,105,116
2019-10-30,IND,BKN,118,108
2019-10-30,DET,TOR,113,125
2019-10-30,HOU,WAS,159,158
2019-10-30,POR,OKC,102,99
2019-10-30,LAC,UTA,96,110
2019-10-30,CHA,SAC,118,111
2019-10-30,PHX,GSW,121,110
2019-10-31,MIA,ATL,106,97
2019-10-31,DEN,NOP,107,122
2019-10-31,SAS,LAC,97,103
2019-11-01,HOU,BKN,116,123
2019-11-01,CLE,IND,95,102
2019-11-01,MIL,ORL,123,91
2019-11-01,NYK,BOS,102,104
2019-11-01,DET,CHI,106,112
2019-11-01,LAL,DAL,119,110
2019-11-01,UTA,SAC,101,102
2019-11-01,SAS,GSW,127,110
2019-11-02,NOP,OKC,104,115
2019-11-02,BKN,DET,109,113
2019-11-02,DEN,ORL,91,87
2019-11-02,MIN,WAS,131,109
2019-11-02,PHX,MEM,114,105
2019-11-02,TOR,MIL,105,115
2019-11-02,CHA,GSW,93,87
2019-11-02,PHI,POR,129,128
2019-11-03,CHI,IND,95,108
2019-11-03,HOU,MIA,100,129
2019-11-03,SAC,NYK,113,92
2019-11-03,LAL,SAS,103,96
2019-11-03,DAL,CLE,131,111
2019-11-03,UTA,LAC,94,105
2019-11-04,DET,WAS,99,115
2019-11-04,NOP,BKN,125,135
2019-11-04,HOU,MEM,107,100
2019-11-04,MIL,MIN,134,106
2019-11-04,PHI,PHX,109,114
2019-11-04,POR,GSW,118,127
2019-11-05,IND,CHA,120,122
2019-11-05,BOS,CLE,119,113
2019-11-05,SAS,ATL,100,108
2019-11-05,LAL,CHI,118,112
2019-11-05,ORL,OKC,94,102
2019-11-05,MIA,DEN,89,109
2019-11-06,NYK,DET,102,122
2019-11-06,WAS,IND,106,121
2019-11-06,CHI,ATL,113,93
2019-11-06,SAC,TOR,120,124
2019-11-06,GSW,HOU,112,129
2019-11-06,MIN,MEM,121,137
2019-11-06,ORL,DAL,106,107
2019-11-06,PHI,UTA,104,106
2019-11-06,MIL,LAC,129,124
2019-11-07,BOS,CHA,108,87
2019-11-07,OKC,SAS,112,121
2019-11-07,MIA,PHX,124,108
2019-11-07,POR,LAC,101,107
2019-11-08,DET,IND,106,112
2019-11-08,MEM,ORL,86,118
2019-11-08,CLE,WAS,113,100
2019-11-08,SAC,ATL,121,109
2019-11-08,GSW,MIN,119,125
2019-11-08,TOR,NOP,122,104
2019-11-08,NYK,DAL,106,102
2019-11-08,PHI,DEN,97,100
2019-11-08,MIL,UTA,100,103
2019-11-08,BKN,POR,119,115
2019-11-08,MIA,LAL,80,95
2019-11-09,BOS,SAS,135,115
2019-11-09,NOP,CHA,115,110
2019-11-09,HOU,CHI,117,94
2019-11-09,DAL,MEM,138,122
2019-11-09,GSW,OKC,108,114
2019-11-10,DEN,MIN,100,98
2019-11-10,IND,ORL,109,102
2019-11-10,CHA,PHI,106,114
2019-11-10,MIL,OKC,121,119
2019-11-10,CLE,NYK,108,87
2019-11-10,BKN,PHX,112,138
2019-11-10,ATL,POR,113,124
2019-11-10,TOR,LAL,113,104
2019-11-11,MIN,DET,120,114
2019-11-11,DAL,BOS,106,116
2019-11-11,MEM,SAS,113,109
2019-11-11,HOU,NOP,122,116
2019-11-11,UTA,GSW,122,108
2019-11-11,TOR,LAC,88,98
