TEAM,RATING
ATL,1532.0968869234973
BKN,1518.2403376167479
BOS,1617.0355479535126
CHA,1524.1388401814227
CHI,1525.3721406513062
CLE,1508.4698141568542
DAL,1618.630250632488
DEN,1565.9529401813982
DET,1351.9772691118512
GSW,1586.5311236529324
HOU,1292.1195948467032
IND,1336.0753796086
LAC,1518.091733345208
LAL,1410.5992018039121
MEM,1642.2260949919125
MIA,1610.3376792725364
MIL,1598.241718405638
MIN,1562.8125500026272
NOP,1479.3212367537005
NYK,1469.8181687950055
OKC,1332.5895361561004
ORL,1340.2467070393861
PHI,1603.0254611751955
PHX,1706.942621051968
POR,1335.2836558944134
SAC,1398.6498308147068
SAS,1451.6255542330289
TOR,1585.132538199387
UTA,1555.5332798396107
WAS,1422.8823067083497
