TEAM,N,WIN,LOSE,WP
ATL,0,0,0,0.0
BKN,9,6,3,0.6666666666666666
BOS,12,6,6,0.5
CHA,12,6,6,0.5
CHI,12,9,3,0.75
CLE,12,3,9,0.25
DAL,6,3,3,0.5
DEN,6,6,0,1.0
DET,9,6,3,0.6666666666666666
GSW,6,3,3,0.5
HOU,6,3,3,0.5
IND,12,0,12,0.0
LAC,6,3,3,0.5
LAL,6,3,3,0.5
MEM,6,0,6,0.0
MIA,12,9,3,0.75
MIL,9,3,6,0.3333333333333333
MIN,6,0,6,0.0
NOP,6,3,3,0.5
NYK,12,9,3,0.75
OKC,6,0,6,0.0
ORL,12,3,9,0.25
PHI,9,6,3,0.6666666666666666
PHX,6,3,3,0.5
POR,6,3,3,0.5
SAC,6,0,6,0.0
SAS,6,3,3,0.5
TOR,12,9,3,0.75
UTA,6,6,0,1.0
WAS,12,3,9,0.25
