TEAM,N,WIN,LOSE,WP
ATL,9,3,6,0.3333333333333333
BKN,0,0,0,0.0
BOS,12,9,3,0.75
CHA,9,6,3,0.6666666666666666
CHI,9,6,3,0.6666666666666666
CLE,12,3,9,0.25
DAL,6,3,3,0.5
DEN,6,6,0,1.0
DET,12,0,12,0.0
GSW,6,6,0,1.0
HOU,6,3,3,0.5
IND,9,0,9,0.0
LAC,6,3,3,0.5
LAL,6,3,3,0.5
MEM,6,6,0,1.0
MIA,12,9,3,0.75
MIL,13,10,3,0.7692307692307693
MIN,6,3,3,0.5
NOP,6,0,6,0.0
NYK,12,0,12,0.0
OKC,6,3,3,0.5
ORL,12,3,9,0.25
PHI,12,3,9,0.25
PHX,6,6,0,1.0
POR,6,3,3,0.5
SAC,6,3,3,0.5
SAS,6,0,6,0.0
TOR,12,6,6,0.5
UTA,6,3,3,0.5
WAS,12,6,6,0.5
