TEAM,N,WIN,LOSE,WP
ATL,20,10,10,0.5
BKN,20,5,15,0.25
BOS,0,0,0,0.0
CHA,20,5,15,0.25
CHI,15,5,10,0.3333333333333333
CLE,15,5,10,0.3333333333333333
DAL,10,10,0,1.0
DEN,10,0,10,0.0
DET,20,5,15,0.25
GSW,10,5,5,0.5
HOU,10,0,10,0.0
IND,20,5,15,0.25
LAC,10,10,0,1.0
LAL,10,5,5,0.5
MEM,10,0,10,0.0
MIA,15,5,10,0.3333333333333333
MIL,20,10,10,0.5
MIN,10,5,5,0.5
NOP,10,0,10,0.0
NYK,20,10,10,0.5
OKC,10,0,10,0.0
ORL,15,0,15,0.0
PHI,20,10,10,0.5
PHX,10,5,5,0.5
POR,10,5,5,0.5
SAC,10,0,10,0.0
SAS,10,10,0,1.0
TOR,20,10,10,0.5
UTA,10,5,5,0.5
WAS,20,10,10,0.5
