TEAM,N,WIN,LOSE,WP
ATL,12,6,6,0.5
BKN,9,3,6,0.3333333333333333
BOS,12,9,3,0.75
CHA,0,0,0,0.0
CHI,9,6,3,0.6666666666666666
CLE,12,6,6,0.5
DAL,6,3,3,0.5
DEN,6,3,3,0.5
DET,9,3,6,0.3333333333333333
GSW,6,3,3,0.5
HOU,6,3,3,0.5
IND,12,0,12,0.0
LAC,6,6,0,1.0
LAL,6,3,3,0.5
MEM,6,3,3,0.5
MIA,12,12,0,1.0
MIL,12,6,6,0.5
MIN,6,3,3,0.5
NOP,6,0,6,0.0
NYK,12,3,9,0.25
OKC,6,0,6,0.0
ORL,12,3,9,0.25
PHI,12,9,3,0.75
PHX,6,6,0,1.0
POR,6,3,3,0.5
SAC,6,3,3,0.5
SAS,6,0,6,0.0
TOR,9,6,3,0.6666666666666666
UTA,6,3,3,0.5
WAS,12,3,9,0.25
