TEAM,N,WIN,LOSE,WP
ATL,20,5,15,0.25
BKN,15,5,10,0.3333333333333333
BOS,15,10,5,0.6666666666666666
CHA,15,5,10,0.3333333333333333
CHI,0,0,0,0.0
CLE,20,5,15,0.25
DAL,10,5,5,0.5
DEN,10,0,10,0.0
DET,20,0,20,0.0
GSW,10,10,0,1.0
HOU,10,5,5,0.5
IND,20,5,15,0.25
LAC,10,0,10,0.0
LAL,10,0,10,0.0
MEM,10,10,0,1.0
MIA,20,20,0,1.0
MIL,20,20,0,1.0
MIN,10,0,10,0.0
NOP,10,5,5,0.5
NYK,20,10,10,0.5
OKC,10,0,10,0.0
ORL,20,5,15,0.25
PHI,20,20,0,1.0
PHX,10,10,0,1.0
POR,10,5,5,0.5
SAC,10,5,5,0.5
SAS,10,5,5,0.5
TOR,20,5,15,0.25
UTA,10,5,5,0.5
WAS,15,0,15,0.0
