TEAM,N,WIN,LOSE,WP
ATL,20,15,5,0.75
BKN,20,15,5,0.75
BOS,15,10,5,0.6666666666666666
CHA,20,10,10,0.5
CHI,20,15,5,0.75
CLE,0,0,0,0.0
DAL,10,5,5,0.5
DEN,10,0,10,0.0
DET,20,10,10,0.5
GSW,10,10,0,1.0
HOU,10,5,5,0.5
IND,20,0,20,0.0
LAC,10,0,10,0.0
LAL,10,10,0,1.0
MEM,10,10,0,1.0
MIA,15,5,10,0.3333333333333333
MIL,20,5,15,0.25
MIN,10,5,5,0.5
NOP,10,5,5,0.5
NYK,15,0,15,0.0
OKC,10,0,10,0.0
ORL,15,5,10,0.3333333333333333
PHI,20,20,0,1.0
PHX,10,10,0,1.0
POR,10,0,10,0.0
SAC,10,0,10,0.0
SAS,10,0,10,0.0
TOR,20,5,15,0.25
UTA,10,5,5,0.5
WAS,20,10,10,0.5
