TEAM,N,WIN,LOSE,WP
ATL,10,5,5,0.5
BKN,10,5,5,0.5
BOS,10,0,10,0.0
CHA,10,5,5,0.5
CHI,10,5,5,0.5
CLE,10,5,5,0.5
DAL,0,0,0,0.0
DEN,15,5,10,0.3333333333333333
DET,10,0,10,0.0
GSW,20,5,15,0.25
HOU,20,0,20,0.0
IND,10,5,5,0.5
LAC,20,10,10,0.5
LAL,15,5,10,0.3333333333333333
MEM,20,5,15,0.25
MIA,10,5,5,0.5
MIL,10,5,5,0.5
MIN,20,10,10,0.5
NOP,20,5,15,0.25
NYK,10,10,0,1.0
OKC,20,5,15,0.25
ORL,10,5,5,0.5
PHI,10,5,5,0.5
PHX,15,15,0,1.0
POR,15,0,15,0.0
SAC,20,5,15,0.25
SAS,20,0,20,0.0
TOR,10,0,10,0.0
UTA,20,10,10,0.5
WAS,10,10,0,1.0
