TEAM,N,WIN,LOSE,WP
ATL,10,0,10,0.0
BKN,10,0,10,0.0
BOS,10,10,0,1.0
CHA,10,5,5,0.5
CHI,10,10,0,1.0
CLE,10,10,0,1.0
DAL,15,10,5,0.6666666666666666
DEN,0,0,0,0.0
DET,10,0,10,0.0
GSW,20,5,15,0.25
HOU,15,0,15,0.0
IND,10,0,10,0.0
LAC,20,5,15,0.25
LAL,15,5,10,0.3333333333333333
MEM,20,15,5,0.75
MIA,10,0,10,0.0
MIL,10,5,5,0.5
MIN,20,15,5,0.75
NOP,20,5,15,0.25
NYK,10,0,10,0.0
OKC,20,10,10,0.5
ORL,10,5,5,0.5
PHI,10,5,5,0.5
PHX,15,10,5,0.6666666666666666
POR,20,5,15,0.25
SAC,20,0,20,0.0
SAS,20,10,10,0.5
TOR,10,5,5,0.5
UTA,20,20,0,1.0
WAS,10,0,10,0.0
