TEAM,N,WIN,LOSE,WP
ATL,12,12,0,1.0
BKN,9,9,0,1.0
BOS,12,9,3,0.75
CHA,12,12,0,1.0
CHI,12,9,3,0.75
CLE,12,12,0,1.0
DAL,6,3,3,0.5
DEN,6,6,0,1.0
DET,12,9,3,0.75
GSW,6,3,3,0.5
HOU,6,0,6,0.0
IND,0,0,0,0.0
LAC,6,3,3,0.5
LAL,6,3,3,0.5
MEM,6,6,0,1.0
MIA,9,6,3,0.6666666666666666
MIL,12,12,0,1.0
MIN,6,6,0,1.0
NOP,6,3,3,0.5
NYK,12,6,6,0.5
OKC,6,3,3,0.5
ORL,9,6,3,0.6666666666666666
PHI,9,6,3,0.6666666666666666
PHX,6,6,0,1.0
POR,6,3,3,0.5
SAC,6,3,3,0.5
SAS,6,0,6,0.0
TOR,12,9,3,0.75
UTA,6,0,6,0.0
WAS,12,6,6,0.5
