TEAM,N,WIN,LOSE,WP
ATL,10,5,5,0.5
BKN,10,5,5,0.5
BOS,10,0,10,0.0
CHA,10,0,10,0.0
CHI,10,10,0,1.0
CLE,10,10,0,1.0
DAL,20,10,10,0.5
DEN,20,15,5,0.75
DET,10,0,10,0.0
GSW,20,15,5,0.75
HOU,15,0,15,0.0
IND,10,5,5,0.5
LAC,0,0,0,0.0
LAL,20,0,20,0.0
MEM,20,20,0,1.0
MIA,10,5,5,0.5
MIL,10,5,5,0.5
MIN,20,5,15,0.25
NOP,20,15,5,0.75
NYK,10,10,0,1.0
OKC,15,5,10,0.3333333333333333
ORL,10,0,10,0.0
PHI,10,5,5,0.5
PHX,20,10,10,0.5
POR,20,5,15,0.25
SAC,20,10,10,0.5
SAS,15,10,5,0.6666666666666666
TOR,10,10,0,1.0
UTA,15,10,5,0.6666666666666666
WAS,10,0,10,0.0
