TEAM,N,WIN,LOSE,WP
ATL,10,5,5,0.5
BKN,10,5,5,0.5
BOS,10,5,5,0.5
CHA,10,5,5,0.5
CHI,10,10,0,1.0
CLE,10,0,10,0.0
DAL,15,10,5,0.6666666666666666
DEN,15,10,5,0.6666666666666666
DET,10,0,10,0.0
GSW,20,15,5,0.75
HOU,20,5,15,0.25
IND,10,5,5,0.5
LAC,20,20,0,1.0
LAL,0,0,0,0.0
MEM,20,15,5,0.75
MIA,10,5,5,0.5
MIL,10,10,0,1.0
MIN,20,15,5,0.75
NOP,15,15,0,1.0
NYK,10,5,5,0.5
OKC,20,10,10,0.5
ORL,10,0,10,0.0
PHI,10,10,0,1.0
PHX,20,20,0,1.0
POR,20,10,10,0.5
SAC,20,10,10,0.5
SAS,20,10,10,0.5
TOR,10,5,5,0.5
UTA,15,5,10,0.3333333333333333
WAS,10,5,5,0.5
