TEAM,N,WIN,LOSE,WP
ATL,10,10,0,1.0
BKN,10,0,10,0.0
BOS,10,10,0,1.0
CHA,10,5,5,0.5
CHI,10,0,10,0.0
CLE,10,0,10,0.0
DAL,20,15,5,0.75
DEN,20,5,15,0.25
DET,10,0,10,0.0
GSW,20,5,15,0.25
HOU,20,5,15,0.25
IND,10,0,10,0.0
LAC,20,0,20,0.0
LAL,20,5,15,0.25
MEM,0,0,0,0.0
MIA,10,5,5,0.5
MIL,10,5,5,0.5
MIN,20,10,10,0.5
NOP,20,5,15,0.25
NYK,10,0,10,0.0
OKC,15,5,10,0.3333333333333333
ORL,10,0,10,0.0
PHI,10,5,5,0.5
PHX,15,5,10,0.3333333333333333
POR,20,15,5,0.75
SAC,15,0,15,0.0
SAS,20,0,20,0.0
TOR,10,5,5,0.5
UTA,15,5,10,0.3333333333333333
WAS,10,5,5,0.5
