TEAM,N,WIN,LOSE,WP
ATL,4,1,3,0.25
BKN,4,1,3,0.25
BOS,3,2,1,0.6666666666666666
CHA,4,0,4,0.0
CHI,4,0,4,0.0
CLE,3,2,1,0.6666666666666666
DAL,2,1,1,0.5
DEN,2,2,0,1.0
DET,4,1,3,0.25
GSW,2,2,0,1.0
HOU,2,0,2,0.0
IND,3,1,2,0.3333333333333333
LAC,2,1,1,0.5
LAL,2,1,1,0.5
MEM,2,1,1,0.5
MIA,0,0,0,0.0
MIL,4,2,2,0.5
MIN,2,2,0,1.0
NOP,2,0,2,0.0
NYK,3,1,2,0.3333333333333333
OKC,2,0,2,0.0
ORL,4,1,3,0.25
PHI,4,2,2,0.5
PHX,2,1,1,0.5
POR,2,0,2,0.0
SAC,2,1,1,0.5
SAS,2,0,2,0.0
TOR,4,2,2,0.5
UTA,2,0,2,0.0
WAS,4,1,3,0.25
