TEAM,N,WIN,LOSE,WP
ATL,15,10,5,0.6666666666666666
BKN,20,5,15,0.25
BOS,20,10,10,0.5
CHA,20,10,10,0.5
CHI,20,0,20,0.0
CLE,20,15,5,0.75
DAL,10,5,5,0.5
DEN,10,5,5,0.5
DET,20,5,15,0.25
GSW,10,5,5,0.5
HOU,10,0,10,0.0
IND,20,0,20,0.0
LAC,10,5,5,0.5
LAL,10,0,10,0.0
MEM,10,5,5,0.5
MIA,20,10,10,0.5
MIL,0,0,0,0.0
MIN,10,10,0,1.0
NOP,10,5,5,0.5
NYK,20,5,15,0.25
OKC,10,0,10,0.0
ORL,20,0,20,0.0
PHI,15,5,10,0.3333333333333333
PHX,10,5,5,0.5
POR,10,5,5,0.5
SAC,10,0,10,0.0
SAS,10,5,5,0.5
TOR,15,15,0,1.0
UTA,10,5,5,0.5
WAS,15,5,10,0.3333333333333333
