TEAM,N,WIN,LOSE,WP
ATL,10,10,0,1.0
BKN,10,5,5,0.5
BOS,10,5,5,0.5
CHA,10,5,5,0.5
CHI,10,10,0,1.0
CLE,10,5,5,0.5
DAL,20,10,10,0.5
DEN,20,5,15,0.25
DET,10,0,10,0.0
GSW,20,10,10,0.5
HOU,15,0,15,0.0
IND,10,0,10,0.0
LAC,20,15,5,0.75
LAL,20,5,15,0.25
MEM,20,10,10,0.5
MIA,10,0,10,0.0
MIL,10,0,10,0.0
MIN,0,0,0,0.0
NOP,20,10,10,0.5
NYK,10,5,5,0.5
OKC,20,0,20,0.0
ORL,10,10,0,1.0
PHI,10,5,5,0.5
PHX,15,15,0,1.0
POR,20,0,20,0.0
SAC,15,5,10,0.3333333333333333
SAS,15,0,15,0.0
TOR,10,10,0,1.0
UTA,20,15,5,0.75
WAS,10,10,0,1.0
