TEAM,N,WIN,LOSE,WP
ATL,10,5,5,0.5
BKN,10,10,0,1.0
BOS,10,10,0,1.0
CHA,10,10,0,1.0
CHI,10,5,5,0.5
CLE,10,5,5,0.5
DAL,20,15,5,0.75
DEN,20,15,5,0.75
DET,10,0,10,0.0
GSW,15,10,5,0.6666666666666666
HOU,20,5,15,0.25
IND,10,5,5,0.5
LAC,20,5,15,0.25
LAL,15,0,15,0.0
MEM,20,15,5,0.75
MIA,10,10,0,1.0
MIL,10,5,5,0.5
MIN,20,10,10,0.5
NOP,0,0,0,0.0
NYK,10,5,5,0.5
OKC,15,10,5,0.6666666666666666
ORL,10,5,5,0.5
PHI,10,10,0,1.0
PHX,20,15,5,0.75
POR,15,0,15,0.0
SAC,20,10,10,0.5
SAS,20,15,5,0.75
TOR,10,5,5,0.5
UTA,20,10,10,0.5
WAS,10,5,5,0.5
