TEAM,N,WIN,LOSE,WP
ATL,20,5,15,0.25
BKN,20,20,0,1.0
BOS,20,10,10,0.5
CHA,20,15,5,0.75
CHI,20,10,10,0.5
CLE,15,15,0,1.0
DAL,10,0,10,0.0
DEN,10,10,0,1.0
DET,15,0,15,0.0
GSW,10,5,5,0.5
HOU,10,0,10,0.0
IND,20,10,10,0.5
LAC,10,0,10,0.0
LAL,10,5,5,0.5
MEM,10,10,0,1.0
MIA,15,10,5,0.6666666666666666
MIL,20,15,5,0.75
MIN,10,5,5,0.5
NOP,10,5,5,0.5
NYK,0,0,0,0.0
OKC,10,10,0,1.0
ORL,20,10,10,0.5
PHI,20,10,10,0.5
PHX,10,10,0,1.0
POR,10,5,5,0.5
SAC,10,0,10,0.0
SAS,10,0,10,0.0
TOR,20,15,5,0.75
UTA,10,10,0,1.0
WAS,15,5,10,0.3333333333333333
