TEAM,N,WIN,LOSE,WP
ATL,6,6,0,1.0
BKN,6,3,3,0.5
BOS,6,6,0,1.0
CHA,6,6,0,1.0
CHI,6,6,0,1.0
CLE,6,6,0,1.0
DAL,12,9,3,0.75
DEN,12,6,6,0.5
DET,6,3,3,0.5
GSW,9,9,0,1.0
HOU,12,9,3,0.75
IND,6,3,3,0.5
LAC,9,6,3,0.6666666666666666
LAL,12,6,6,0.5
MEM,9,6,3,0.6666666666666666
MIA,6,6,0,1.0
MIL,6,6,0,1.0
MIN,12,12,0,1.0
NOP,9,3,6,0.3333333333333333
NYK,6,0,6,0.0
OKC,0,0,0,0.0
ORL,6,3,3,0.5
PHI,6,6,0,1.0
PHX,12,9,3,0.75
POR,12,0,12,0.0
SAC,12,9,3,0.75
SAS,12,9,3,0.75
TOR,6,3,3,0.5
UTA,12,12,0,1.0
WAS,6,6,0,1.0
