TEAM,N,WIN,LOSE,WP
ATL,3,1,2,0.3333333333333333
BKN,4,3,1,0.75
BOS,4,2,2,0.5
CHA,4,1,3,0.25
CHI,4,0,4,0.0
CLE,4,0,4,0.0
DAL,2,1,1,0.5
DEN,2,1,1,0.5
DET,4,1,3,0.25
GSW,2,1,1,0.5
HOU,2,0,2,0.0
IND,3,1,2,0.3333333333333333
LAC,2,1,1,0.5
LAL,2,0,2,0.0
MEM,2,1,1,0.5
MIA,4,2,2,0.5
MIL,3,2,1,0.6666666666666666
MIN,2,1,1,0.5
NOP,2,0,2,0.0
NYK,4,2,2,0.5
OKC,2,0,2,0.0
ORL,4,0,4,0.0
PHI,0,0,0,0.0
PHX,2,2,0,1.0
POR,2,1,1,0.5
SAC,2,0,2,0.0
SAS,2,0,2,0.0
TOR,4,3,1,0.75
UTA,2,2,0,1.0
WAS,3,2,1,0.6666666666666666
