TEAM,N,WIN,LOSE,WP
ATL,10,5,5,0.5
BKN,10,5,5,0.5
BOS,10,5,5,0.5
CHA,10,5,5,0.5
CHI,10,5,5,0.5
CLE,10,10,0,1.0
DAL,15,15,0,1.0
DEN,20,15,5,0.75
DET,10,0,10,0.0
GSW,15,15,0,1.0
HOU,20,10,10,0.5
IND,10,5,5,0.5
LAC,20,15,5,0.75
LAL,20,10,10,0.5
MEM,20,5,15,0.25
MIA,10,10,0,1.0
MIL,10,5,5,0.5
MIN,20,20,0,1.0
NOP,15,15,0,1.0
NYK,10,5,5,0.5
OKC,20,20,0,1.0
ORL,10,5,5,0.5
PHI,10,5,5,0.5
PHX,20,15,5,0.75
POR,0,0,0,0.0
SAC,15,10,5,0.6666666666666666
SAS,20,20,0,1.0
TOR,10,0,10,0.0
UTA,20,20,0,1.0
WAS,10,0,10,0.0
