TEAM,N,WIN,LOSE,WP
ATL,6,6,0,1.0
BKN,6,3,3,0.5
BOS,6,6,0,1.0
CHA,6,3,3,0.5
CHI,6,3,3,0.5
CLE,6,6,0,1.0
DAL,12,9,3,0.75
DEN,12,12,0,1.0
DET,6,3,3,0.5
GSW,12,12,0,1.0
HOU,12,3,9,0.25
IND,6,3,3,0.5
LAC,12,6,6,0.5
LAL,12,6,6,0.5
MEM,9,9,0,1.0
MIA,6,3,3,0.5
MIL,6,6,0,1.0
MIN,9,6,3,0.6666666666666666
NOP,12,6,6,0.5
NYK,6,6,0,1.0
OKC,12,3,9,0.25
ORL,6,0,6,0.0
PHI,6,6,0,1.0
PHX,12,6,6,0.5
POR,9,3,6,0.3333333333333333
SAC,0,0,0,0.0
SAS,9,3,6,0.3333333333333333
TOR,6,6,0,1.0
UTA,12,12,0,1.0
WAS,6,0,6,0.0
