TEAM,N,WIN,LOSE,WP
ATL,6,3,3,0.5
BKN,6,6,0,1.0
BOS,6,0,6,0.0
CHA,6,6,0,1.0
CHI,6,3,3,0.5
CLE,6,6,0,1.0
DAL,12,12,0,1.0
DEN,12,6,6,0.5
DET,6,3,3,0.5
GSW,12,6,6,0.5
HOU,12,3,9,0.25
IND,6,6,0,1.0
LAC,9,3,6,0.3333333333333333
LAL,12,6,6,0.5
MEM,12,12,0,1.0
MIA,6,6,0,1.0
MIL,6,3,3,0.5
MIN,9,9,0,1.0
NOP,12,3,9,0.25
NYK,6,6,0,1.0
OKC,12,3,9,0.25
ORL,6,0,6,0.0
PHI,6,6,0,1.0
PHX,12,12,0,1.0
POR,12,0,12,0.0
SAC,9,6,3,0.6666666666666666
SAS,0,0,0,0.0
TOR,6,6,0,1.0
UTA,9,3,6,0.3333333333333333
WAS,6,0,6,0.0
