TEAM,N,WIN,LOSE,WP
ATL,20,5,15,0.25
BKN,20,10,10,0.5
BOS,20,10,10,0.5
CHA,15,5,10,0.3333333333333333
CHI,20,15,5,0.75
CLE,20,15,5,0.75
DAL,10,10,0,1.0
DEN,10,5,5,0.5
DET,15,15,0,1.0
GSW,10,5,5,0.5
HOU,10,0,10,0.0
IND,20,5,15,0.25
LAC,10,0,10,0.0
LAL,10,5,5,0.5
MEM,10,5,5,0.5
MIA,20,10,10,0.5
MIL,15,0,15,0.0
MIN,10,0,10,0.0
NOP,10,5,5,0.5
NYK,20,5,15,0.25
OKC,10,5,5,0.5
ORL,15,5,10,0.3333333333333333
PHI,20,5,15,0.25
PHX,10,5,5,0.5
POR,10,10,0,1.0
SAC,10,0,10,0.0
SAS,10,0,10,0.0
TOR,0,0,0,0.0
UTA,10,5,5,0.5
WAS,20,5,15,0.25
