TEAM,N,WIN,LOSE,WP
ATL,6,0,6,0.0
BKN,6,3,3,0.5
BOS,6,3,3,0.5
CHA,6,3,3,0.5
CHI,6,3,3,0.5
CLE,6,3,3,0.5
DAL,12,6,6,0.5
DEN,12,0,12,0.0
DET,6,3,3,0.5
GSW,12,9,3,0.75
HOU,12,3,9,0.25
IND,6,6,0,1.0
LAC,9,3,6,0.3333333333333333
LAL,9,6,3,0.6666666666666666
MEM,9,6,3,0.6666666666666666
MIA,6,6,0,1.0
MIL,6,3,3,0.5
MIN,12,3,9,0.25
NOP,12,6,6,0.5
NYK,6,0,6,0.0
OKC,12,0,12,0.0
ORL,6,3,3,0.5
PHI,6,0,6,0.0
PHX,12,9,3,0.75
POR,12,0,12,0.0
SAC,12,0,12,0.0
SAS,9,6,3,0.6666666666666666
TOR,6,3,3,0.5
UTA,0,0,0,0.0
WAS,6,3,3,0.5
