TEAM,N,WIN,LOSE,WP
ATL,12,9,3,0.75
BKN,12,6,6,0.5
BOS,12,6,6,0.5
CHA,12,9,3,0.75
CHI,9,9,0,1.0
CLE,12,6,6,0.5
DAL,6,0,6,0.0
DEN,6,6,0,1.0
DET,12,0,12,0.0
GSW,6,3,3,0.5
HOU,6,6,0,1.0
IND,12,6,6,0.5
LAC,6,6,0,1.0
LAL,6,3,3,0.5
MEM,6,3,3,0.5
MIA,12,9,3,0.75
MIL,9,6,3,0.6666666666666666
MIN,6,0,6,0.0
NOP,6,3,3,0.5
NYK,9,6,3,0.6666666666666666
OKC,6,0,6,0.0
ORL,12,0,12,0.0
PHI,9,3,6,0.3333333333333333
PHX,6,6,0,1.0
POR,6,6,0,1.0
SAC,6,6,0,1.0
SAS,6,6,0,1.0
TOR,12,9,3,0.75
UTA,6,3,3,0.5
WAS,0,0,0,0.0
